Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Lionel Messi,"PSG,",", AM(CR),FW",23,2032,13,13,-,-,4.3,82.6,-,12,8.46
Kylian Mbappé,"PSG,",", AM(LR),FW",22(2),1922,19,3,5,-,4.3,82.8,0.3,3,7.72
Martin Terrier,"Rennes,",", AM(CL),FW",16,1330,9,4,-,-,2.9,75.3,3.9,7,7.71
Neymar,"PSG,",", AM(CLR),FW",18(2),1553,13,11,4,1,1.9,82.7,0.1,3,7.71
Khvicha Kvaratskhelia,"Napoli,",", AM(CLR)",22(1),1743,12,10,-,-,2.9,81.9,0.3,7,7.64
Victor Osimhen,"Napoli,",", FW",22(1),1916,21,4,4,-,4.3,71,2,4,7.60
Kieran Trippier,"Newcastle,",", D(LR),M(R)",26,2291,1,5,5,-,0.5,74.8,1.4,7,7.54
Erling Haaland,"Man City,",", FW",25(1),2120,28,5,4,-,3.5,75.6,1.3,5,7.52
Jude Bellingham,"Borussia Dortmund,",", M(CLR)",23(1),2076,4,4,6,-,1.9,82.2,1.3,6,7.52
Kevin De Bruyne,"Man City,",", M(CLR),FW",22(3),1944,4,12,1,-,2.3,78.9,0.3,7,7.51
Robert Lewandowski,"Barcelona,",", FW",21(1),1772,15,5,-,1,3.8,79.2,1.6,6,7.51
Bukayo Saka,"Arsenal,",", D(L),M(CLR)",28,2413,12,10,5,-,2.5,81,0.3,3,7.50
Harry Kane,"Tottenham,",", AM(C),FW",28,2508,21,2,4,-,3.6,71.8,1.7,5,7.49
Niclas Füllkrug,"Werder Bremen,",", FW",24,2119,15,5,4,-,3,63.6,5.5,5,7.47
Antoine Griezmann,"Atletico,",", AM(CLR),FW",19(7),1783,9,8,1,-,2.6,81.8,0.8,6,7.47
Joshua Kimmich,"Bayern,",", D(CR),DMC,M(R)",23(1),2039,4,4,3,1,1,89.5,0.5,2,7.45
Dango Ouattara,"Lorient,",", AM(LR)",18,1552,6,5,1,1,2.9,63.9,2.2,4,7.44
Gabriel Jesus,"Arsenal,",", AM(LR),FW",14(2),1264,5,5,4,-,3.3,82,1.6,2,7.44
Jamal Musiala,"Bayern,",", M(CL)",20(4),1691,11,8,1,-,2,84.1,0.5,4,7.43
Karim Benzema,"Real Madrid,",", FW",16,1396,11,3,1,-,4.6,86.8,0.7,4,7.42
Dominik Szoboszlai,"RBL,",", AM(CLR)",21(2),1811,4,8,1,1,1.6,83.7,0.2,4,7.41
Rodri,"Man City,",", D(C),DMC",26,2243,2,5,3,-,1.6,91.2,2.4,3,7.41
Alexandre Lacazette,"Lyon,",", M(CLR),FW",24(1),2059,17,4,2,-,3,74.2,0.8,3,7.38
Armand Laurienté,"Sassuolo,",", AM(LR),FW",20,1651,7,6,5,1,2.3,81,0.1,4,7.37
Enzo Le Fée,"Lorient,",", M(CLR)",28,2427,4,5,3,-,1.4,84.6,0.4,5,7.36
Martin Ødegaard,"Arsenal,",", AM(CR)",27,2321,10,6,4,-,2.8,84.2,0.4,5,7.36
Vinícius Júnior,"Real Madrid,",", AM(L),FW",25,2212,8,4,8,-,2.5,82,-,4,7.35
Bruno Fernandes,"Man Utd,",", M(CLR)",25,2250,5,6,5,-,2.2,76.6,0.5,4,7.34
Solly March,"Brighton,",", M(CLR)",25,2162,7,4,2,-,2.2,77.8,1,5,7.31
Ivan Toney,"Brentford,",", FW",25,2242,16,4,9,-,2.9,60.2,3.4,5,7.30
Rémy Cabella,"Lille,",", M(CLR),FW",19(3),1728,4,6,3,-,1.4,84.5,0.2,2,7.30
James Maddison,"Leicester,",", AM(CLR)",19(1),1636,9,6,8,-,2.9,81.5,0.1,3,7.30
Jonas Hofmann,"Borussia M.Gladbach,",", D(R),M(CLR)",22,1952,8,8,1,-,1.5,79.8,0.5,5,7.29
Pedri,"Barcelona,",", AM(CL)",18(3),1634,6,-,2,-,0.8,88.5,-,3,7.28
Paulo Dybala,"Roma,",", AM(CR),FW",18(2),1443,9,6,3,-,2.4,81.5,0.2,5,7.28
Randal Kolo Muani,"Eintracht Frankfurt,",", AM(R),FW",23(1),1973,11,10,2,1,2.1,65.5,1.9,6,7.28
Téji Savanier,"Montpellier,",", M(C)",23,1985,10,2,4,2,2.1,78.2,0.3,5,7.27
Christopher Nkunku,"RBL,",", M(CLR),FW",15(3),1419,12,1,2,-,2.7,81.6,0.7,5,7.26
Vincenzo Grifo,"Freiburg,",", AM(CL)",21(3),1696,12,4,1,-,1.9,79.2,0.4,5,7.26
Julian Brandt,"Borussia Dortmund,",", M(CLR),FW",20(3),1766,8,4,2,-,1.2,83.4,0.3,3,7.26
Sergej Milinkovic-Savic,"Lazio,",", AM(C)",24(1),2106,4,8,7,-,1.5,76.1,2.6,4,7.25
Jonathan David,"Lille,",", AM(C),FW",26(1),2293,19,4,4,-,3.1,82.5,0.3,5,7.25
Thomas Partey,"Arsenal,",", D(R),M(CR)",21(2),1865,3,-,2,-,1.1,87.3,1.2,1,7.25
Mikel Merino,"Real Sociedad,",", M(C)",18(3),1607,1,7,5,1,1.5,76.8,3.5,5,7.24
Federico Valverde,"Real Madrid,",", M(CLR)",23(3),2036,7,2,2,-,2.1,87.9,1,4,7.24
Benjamin André,"Lille,",", D(R),M(CLR)",25,2208,1,1,8,-,0.6,85.1,2.9,3,7.24
Ousmane Dembélé,"Barcelona,",", AM(CLR),FW",14(4),1108,5,5,4,-,2.2,84,0.1,2,7.23
Eric Choupo-Moting,"Bayern,",", M(CLR),FW",13(4),1029,10,2,-,-,1.6,77.2,1.1,3,7.23
Gabriel Martinelli,"Arsenal,",", AM(L),FW",27(1),2265,13,2,3,-,2.4,82.9,0.4,2,7.23
Rodrigo Bentancur,"Tottenham,",", M(C)",17(1),1506,5,2,8,-,0.8,85.2,0.8,1,7.22
Alphonso Davies,"Bayern,",", D(L),M(LR)",21(1),1840,1,4,-,-,0.6,87,0.2,2,7.22
Fabien Centonze,"Nantes,",", D(R),M(R)",13(2),1134,-,-,3,-,0.5,78.8,1.7,1,7.22
Lucas Martínez,"Fiorentina,",", D(C)",17(2),1541,1,1,3,-,1.1,81.2,3.4,4,7.21
